Company Name,Contact Email,Email exe,Subject,Mailbody
BAE Systems,external.dataprotection@baesystems.com,tom.lynch@baesystems.com,End Complicity in Military Violence and Occupation,"Dear BAE Systems,

Your continued provision of weapons and systems used by the Israeli military in the oppression of Palestinians is deeply troubling. These tools are used in actions that violate international human rights laws.

I urge BAE Systems to divest from contracts and programs that contribute to conflict and occupation. Profit must never come at the cost of human lives.

Sincerely,"
Boeing,media@boeing.com,david.calhoun@boeing.com,Stop Supplying Weapons Used Against Palestinian Civilians,"Dear Boeing,

I am deeply concerned that Boeing weapons systems, including aircraft and munitions, are used by the Israeli military in attacks on civilians in Gaza and the West Bank.

This use of your technology is a violation of ethical responsibility. I urge Boeing to reconsider its military contracts and halt deliveries that enable occupation and violence.

Please act with integrity.

Sincerely,"
Caterpillar,cfsi.customerservice@cat.com,j.johnson@cat.com,Stop Providing Machinery Used in Palestinian Home Demolitions,"Dear Caterpillar,

Your equipment, especially armored bulldozers, has been used by Israeli forces to demolish Palestinian homes, schools, and infrastructure—acts that violate international law.

I urge Caterpillar to stop supplying machinery used for dispossession and destruction. Take responsibility for how your equipment is used.

Do not enable occupation.

Sincerely,"
Cellebrite DI Ltd,info@cellebrite.com,yoram@cellebrite.com,Halt Sales of Surveillance Tools Used to Oppress Palestinians,"Dear Cellebrite,

Your digital surveillance tools have been linked to the Israeli military and police, who use them to target, monitor, and harass Palestinians and dissidents.

Surveillance should not be a tool of control. I urge Cellebrite to end sales to regimes involved in systemic oppression and adopt transparent human rights standards.

Technology must protect freedom—not violate it.

Sincerely,"
Cisco,web-help@cisco.com,chuck.robinson@cisco.com,Demand Cisco Withdraw from Projects Linked to Occupation,"Dear Cisco,

I am concerned about Cisco’s involvement in tech partnerships and infrastructure development that support Israeli surveillance systems used to oppress Palestinians.

I urge Cisco to conduct human rights impact assessments and ensure its technology is not used to support occupation or discriminatory control systems.

Please act with conscience.

Sincerely,"
Colt,cs@shop.colt.com,ceo@colt.net,End Supply of Weapons Used in the Occupation of Palestine,"Dear Colt,

Your firearms have been used by Israeli security forces during operations against Palestinian civilians. These weapons are linked to countless human rights violations.

I urge Colt to adopt an ethical weapons distribution policy that prevents your arms from enabling occupation or repression.

Hold your business to a higher standard.

Sincerely,"
Corsight,info@corsight.ai,ceo@corsight.ai,Cease Use of Facial Recognition in Occupied Palestine,"Dear Corsight,

I am alarmed by the use of your facial recognition technologies by Israeli forces to surveil and control Palestinians in the West Bank and occupied territories.

This level of intrusive monitoring fuels systemic oppression. I urge Corsight to end all collaborations that enable rights abuses and to prioritize ethical deployment of AI.

Technology must not serve apartheid.

Sincerely,"
Day & Zimmermann,info@dayzim.com,ceo@dayzim.com,Stop Supplying Arms Used in Occupation and Conflict,"Dear Day & Zimmermann,

I am writing to express concern over your company’s role in supplying weapons and logistical support that are used in violent conflicts, including those that support Israel’s military operations in occupied Palestine.

You have a responsibility to ensure your work does not contribute to human rights violations. I urge you to adopt ethical guidelines for your defense contracts.

Stand for peace—not profit from war.

Sincerely,"
DJI,support@dji.com,fjian@dji.com,Take Responsibility for How DJI Drones Are Used,"Dear DJI,

Your drones have been used by the Israeli military for surveillance and control of Palestinian populations, often in operations involving human rights abuses.

I urge DJI to implement strict end-use policies and transparency about how your technology is used globally—especially in conflict zones.

Please ensure DJI does not enable oppression.

Sincerely,"
Elbit Systems (ESLT),marcom@elbitsystems.com,yoav.shoham@elbitsystems.com,End Elbit’s Direct Involvement in Occupation and Oppression,"Dear Elbit Systems,

Your technologies—from drones to surveillance towers—are used by Israeli forces to control and harm Palestinians. Your company plays a direct role in the occupation and militarization of daily life.

I call on Elbit to stop profiting from war and apartheid and to end the development and export of tools of oppression.

History will remember where you stood.

Sincerely,"
Emtan,info@emtan.co.il,ceo@emtan.com,Halt Firearm Sales that Enable State Violence,"Dear EMTAN,

I am alarmed by EMTAN’s role in arming Israeli forces involved in the violent repression of Palestinians. These weapons are tied to ongoing human rights violations.

I urge your company to stop manufacturing and exporting firearms used in systemic violence and occupation.

Ethics must come before arms sales.

Sincerely,"
Flyer Defense,info@flyerdefense.com,ceo@flyerdefense.com,End Military Vehicle Contracts That Support Oppression,"Dear Flyer Defense,

Your tactical vehicles have been linked to use by Israeli forces in occupied Palestine—enabling military raids, assaults, and repression of civilians.

Please review and end any contracts that supply forces involved in violations of international law. Companies must not fuel injustice.

Sincerely,"
Ford (F),cr@ford.com,j.joint@ford.com,Investigate and End Use of Ford Vehicles in Occupation,"Dear Ford,

There are credible reports that Ford vehicles are used by Israeli military and police forces in occupied Palestinian territories. These vehicles are often modified for raids and crowd suppression.

I urge Ford to investigate these uses and take a stand by prohibiting supply or resale of vehicles used in human rights abuses.

Responsibility doesn’t stop at the factory.

Sincerely,"
